"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cxcl12",1.14564377575628,0.0132386641924007,0.0705478998799528,0.187654972223527,0.85114713005163,NA
"Cxcl13",1.0214930570684,-0.000453598607147433,0.0749975769027882,-0.00604817683290471,0.995174282505185,NA
"Cxcl14",1.16430875933994,-0.0283725696812817,0.0709228670247518,-0.400048261886815,0.689120970298817,NA
"Cxcl2",1.09326643693972,-0.0305159488954663,0.0731968265377543,-0.416902621860614,0.676749635728522,NA
"Cxcl3",1.01665632954409,-0.00110817670754286,0.0751908044448259,-0.0147381945934098,0.988241047783603,NA
"Cxcl5",1.02170681892324,-0.000770054334089718,0.0749972433699842,-0.0102677685137146,0.991807649978506,NA
"Cxcl9",1.02600381020821,0.0160565942462682,0.0744421165084978,0.215692339220839,0.829227573087248,NA
"Cxcr1",1.0190201721349,-0.00460177054644466,0.0751871152618437,-0.061204243977425,0.951196549866335,NA
"Cxcr2",1.05855539963744,0.0142958744953999,0.0733328054047119,0.194945146534396,0.845435890329648,NA
"Cxcr4",1.04781657436485,0.014716495902449,0.0736968603804692,0.199689590933362,0.841723355049045,NA
"Cyfip1",1.02450166488898,-0.0126681743908128,0.075178630640023,-0.168507650152231,0.866183925776052,NA
"Cyfip2",1.36947335861679,0.0926958567871442,0.0629479633994961,1.47257912378919,0.140864557348964,0.635522903172758
"Cystm1",1.02407112173991,-0.00424641629666503,0.0749935806823277,-0.0566237304317129,0.954844930718247,NA
"Cyth1",1.0413733459219,-0.00630873791407897,0.0744186164289158,-0.0847736523038565,0.932441340534323,NA
"Cyth2",1.05845188975807,-0.0269572864932171,0.0743030759570791,-0.362801756804643,0.716752979432085,NA
"Cyth3",1.03170001207022,-0.00765895561363723,0.0747975917540017,-0.102395751441121,0.918442555807406,NA
"Dab1",1.28699100326615,-0.0178784314917418,0.0672340070093327,-0.26591352035972,0.790305812125205,0.981925512506013
"Dab2",1.02460911172135,-0.00503531280144168,0.0749927501602151,-0.0671439944619207,0.946467070380785,NA
"Dach1",1.01869778605667,-0.00412587939937681,0.0751876175389865,-0.0548744531935388,0.956238484602535,NA
"Dact1",1.03481680389859,-0.0121945214282245,0.0747928501539003,-0.16304394608752,0.870483833616256,NA
"Dact2",1.09573147549778,0.0277758060634328,0.0717955857766356,0.386873451382464,0.69884989642879,NA
"Dad1",1.05426517237402,0.00173065586651785,0.0737750610686688,0.0234585487487022,0.981284502684286,NA
"Dag1",1.04534765517122,-0.00440703911666342,0.0742325736614793,-0.05936799573676,0.952659003782982,NA
"Dagla",1.04674150641161,-0.00641558524286889,0.074230483133905,-0.0864279063265123,0.931126263884099,NA
"Dapk1",1.04942603489816,0.0236186643944897,0.0734329573013696,0.321635751336535,0.747728656202919,NA
"Dapl1",1.04082681979942,0.0285318162072606,0.0736199623402401,0.387555430623541,0.698345057039188,NA
"Dbh",1.02525079079491,0.00563204853354285,0.0747159107342491,0.0753795072320677,0.939912763674323,NA
"Dbi",1.0369699465008,0.0115071892113456,0.0741557360809147,0.155175982594112,0.876682582033869,NA
"Dbn1",1.27966443756179,0.0123683024037156,0.0667816370425783,0.185205139488118,0.853068138101196,0.981925512506013
"Dbnl",1.10240169253587,-0.0393228495068292,0.0730983044201266,-0.537944755610531,0.590615188771034,NA
"Dbx2",1.04190837437747,0.00814571361057158,0.0740590667869716,0.10998941742005,0.912417767667379,NA
"Dcc",1.03997202350065,-0.0042897301661929,0.0744207221882699,-0.0576416089505383,0.954034105602851,NA
"Dcdc2a",1.02310467898156,0.00878930177073384,0.0747192449966727,0.117631030280422,0.906360017022099,NA
"Dclk2",1.03782322779451,-0.0165601619184805,0.0747882993722223,-0.221427175874936,0.824759834255029,NA
"Dclk3",1.04491173653929,0.0226375072694901,0.0736137538067794,0.307517360531685,0.758449611004919,NA
"Dcn",1.03901640299764,0.00474415829685011,0.0742622756763817,0.0638838259889057,0.949062730960965,NA
"Dcx",1.03105564520083,0.000993121545729774,0.0746157346053432,0.0133098139552279,0.989380618478161,NA
"Ddc",1.01988108205461,-0.00978067881049324,0.0752791781303697,-0.129925419663255,0.896625432764662,NA
