NAME,X,Y,X-scaled,Y-scaled,label,top_level_cell_type,sub_level_cell_type
469,11071,23313,3322,6994,13months-control-replicate_2,Astro,Astro1
470,19176,23344,5753,7004,13months-control-replicate_2,SMC,S3
471,10917,23308,3275,6993,13months-control-replicate_2,Inh,Pvalb_Nog
472,2301,23314,691,6995,13months-control-replicate_2,Astro,Astro1
473,15150,23312,4545,6994,13months-control-replicate_2,CTX-Ex,CTX-Ex1
474,5998,23327,1800,6999,13months-control-replicate_2,CTX-Ex,CTX-Ex1
475,16109,23310,4833,6993,13months-control-replicate_2,CTX-Ex,CTX-Ex2
476,6398,23307,1920,6993,13months-control-replicate_2,Inh,Vip
477,3949,23304,1185,6992,13months-control-replicate_2,Astro,Astro2
478,9483,23301,2845,6991,13months-control-replicate_2,Inh,Pvalb_Nog
479,7995,23294,2399,6989,13months-control-replicate_2,CTX-Ex,CTX-Ex2
480,17390,23277,5217,6984,13months-control-replicate_2,Inh,Sst
481,11327,23293,3398,6988,13months-control-replicate_2,Inh,Sst
482,6546,23283,1964,6985,13months-control-replicate_2,CTX-Ex,CTX-Ex3
483,14861,23292,4459,6988,13months-control-replicate_2,CTX-Ex,CTX-Ex3
484,10082,23285,3025,6986,13months-control-replicate_2,SMC,S1
485,2374,23285,713,6986,13months-control-replicate_2,CTX-Ex,CTX-Ex2
486,19341,23281,5803,6985,13months-control-replicate_2,Astro,Astro2
487,8879,23278,2664,6984,13months-control-replicate_2,Astro,Astro1
488,13995,23272,4199,6982,13months-control-replicate_2,CTX-Ex,CTX-Ex2
489,13223,23268,3967,6981,13months-control-replicate_2,CTX-Ex,CTX-Ex1
490,5398,23271,1620,6982,13months-control-replicate_2,CTX-Ex,CTX-Ex3
491,14108,23273,4233,6982,13months-control-replicate_2,CTX-Ex,CTX-Ex2
492,13467,23265,4040,6980,13months-control-replicate_2,CA1,CA1-Ex
493,12208,23263,3663,6979,13months-control-replicate_2,Astro,Astro1
494,17248,23231,5175,6970,13months-control-replicate_2,CTX-Ex,CTX-Ex2
495,15996,23252,4799,6976,13months-control-replicate_2,Astro,Astro2
496,3096,23269,929,6981,13months-control-replicate_2,CTX-Ex,CTX-Ex3
497,7652,23274,2296,6983,13months-control-replicate_2,CTX-Ex,CTX-Ex3
498,5578,23255,1674,6977,13months-control-replicate_2,Inh,Vip
499,4362,23262,1309,6979,13months-control-replicate_2,CTX-Ex,CTX-Ex1
