"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Stoml1",1.04727386055625,-0.00312295946621221,0.0299986312052592,-0.104103398746564,0.917087293706309,NA
"Stoml3",1.03201982230995,0.0104994293757091,0.0301883471711502,0.3477974238266,0.727992324516758,NA
"Ston2",1.09112442398982,-0.00421157517313288,0.0293944006675012,-0.143278144051062,0.886070516250707,0.997571146269089
"Stpg1",1.02063353804595,0.00270769219506216,0.0303731594590975,0.0891475316787018,0.928964662923967,NA
"Stx12",1.06640624039942,0.00131339954328881,0.0297195466484948,0.0441931217465367,0.964750464749826,NA
"Stx16",1.25670094891739,-0.0106241715813151,0.0274106216602447,-0.387593237140038,0.698317074430553,0.959413502702153
"Stx1a",1.02955096112357,0.0143219845749933,0.0302159984716735,0.473986804984111,0.635509316660527,NA
"Stx1b",1.08800718081526,0.0323925566362402,0.029357989121916,1.10336428362728,0.26986900059572,0.7515186070401
"Stx2",1.02815258223854,0.00239882441670791,0.0302629378655053,0.0792660787716242,0.936820986597776,NA
"Stx3",1.02428563486639,-5.51138546873067e-05,0.0303253548811882,-0.00181741829248948,0.998549910802178,NA
"Stx6",1.04115633400872,-0.0085451354020967,0.030098670431186,-0.283904082129916,0.776483888078689,NA
"Stx7",1.01977308506898,0.00279792563340074,0.0303857104869878,0.092080309742927,0.926634232529412,NA
"Stxbp1",1.11034113449249,0.0482900366653868,0.0290299293961274,1.66345691050246,0.0962210093246635,0.401028501950443
"Stxbp3",1.02987792041935,-0.00156872046447914,0.0302466784115793,-0.0518642226803519,0.958636882054642,NA
"Stxbp4",1.03943641116225,0.0116335769448901,0.0300783767591192,0.386775424686539,0.698922472257104,NA
"Stxbp5",1.04416146321146,0.00582073730781953,0.0300232555430855,0.193874288531647,0.846274316485231,NA
"Stxbp5l",1.0318056159647,-0.00601920072820876,0.0302284833118476,-0.199123477883841,0.842166156263696,NA
"Stxbp6",1.09735659910561,-0.024235719788022,0.0293557737656651,-0.825586134485353,0.409038903204861,0.84954233742548
"Sulf1",1.02192094423587,-0.000291157855112195,0.0303608201431778,-0.00958992061937496,0.992348467679529,NA
"Sulf2",1.03545909235906,0.00447102553120763,0.0301517261411554,0.148284231233612,0.882118459434011,NA
"Sult1a1",1.10206974344351,0.0270527257158637,0.0291816734567839,0.927045042702126,0.353903148360171,0.810973635172201
"Sult2b1",1.03513881956002,-0.00295619385024427,0.0301730544993481,-0.097974629990084,0.921952438762317,NA
"Sumo2",1.29923848778549,-0.0496683678779858,0.0270420228915179,-1.83671051819,0.0662526416808526,0.309899914577967
"Susd5",1.06478329279234,-0.0122058023727406,0.0297721292910629,-0.409974115502871,0.681824935563176,NA
"Sv2a",1.04480554704397,0.0149214340695437,0.0299940311932503,0.497480114406947,0.618850522507793,NA
"Sv2b",1.09109328792535,0.0231718706338666,0.0293354543457948,0.78989302025889,0.429590247944793,0.87440258523374
"Sv2c",1.04426859425214,0.0211172287997526,0.0299882734449752,0.704182881301922,0.481318890383202,NA
"Svop",1.02299615079797,0.00230141572706413,0.0303390823439163,0.0758564712332381,0.939533287954053,NA
"Syde1",1.02203000915648,0.00454916948914718,0.0303483327866469,0.149898497592223,0.880844697072824,NA
"Syde2",1.0507141879026,-0.00779150212282496,0.0299601743842772,-0.260061975036896,0.794815968499593,NA
"Syn1",1.04534563940419,0.00437494806378798,0.0300095406454952,0.145785239283385,0.884090928748067,NA
"Syn2",1.07005210836293,-0.0159345881362276,0.0297074791851045,-0.536383044718828,0.591693847113074,0.938199504471866
"Syn3",1.02192345822407,-0.00156434981133816,0.0303637005707678,-0.0515203938232816,0.958910851509111,NA
"Syndig1",1.02632826787184,-0.00922101291634197,0.0303160999929348,-0.304162241135599,0.761004290024971,NA
"Syndig1l",1.03019512089242,-0.00167985533595569,0.0302422135073296,-0.0555467057842363,0.955702921525722,NA
"Syne1",1.04352208986873,-0.0082944414845589,0.030064112567353,-0.275891778477638,0.782631188767724,NA
"Syngap1",1.1281803955502,-0.0088769692012465,0.0289194223905735,-0.306955273219427,0.758877416548942,0.965702614091994
"Syngr1",1.05221862472999,0.011691567332075,0.0298955900089216,0.391079999711864,0.695738103662563,NA
"Syngr2",1.02546688903187,0.00545181709709998,0.030295569159191,0.179954272139694,0.857188467595582,NA
"Syngr3",1.03964834189455,0.00114002034938837,0.0300985400156282,0.0378762673802927,0.969786335354873,NA
"Syngr4",1.03019368529377,0.0128300585758272,0.0302098592384996,0.424697727802599,0.671057040408155,NA
"Synj1",1.13815821880696,-0.043498867737354,0.0288699079391698,-1.50672000163659,0.131882442442121,0.505549362694796
"Synj2",1.01998908057834,-0.00216666493319749,0.0303937409074258,-0.0712865500761087,0.943169699479728,NA
"Synpo",1.02417821391652,0.00146402616654018,0.0303235158456285,0.0482802249578601,0.961492914370059,NA
"Synpo2",1.01515266320133,0.000162719692885483,0.0304605001528546,0.00534199018627189,0.995737728778395,NA
"Synpr",1.01912792117405,0.000472874669255552,0.0304005325817698,0.0155548152975162,0.987589553485959,NA
"Syp",1.05393684575801,0.00287151433831558,0.0298906745057306,0.0960672311949688,0.923467176620638,NA
"Syt1",1.03492146811666,0.0138637442649854,0.0301387495890258,0.459997327494753,0.645518138774247,NA
"Syt10",1.07746863282712,0.0293670907187975,0.0295068877805067,0.995262222747817,0.319608746035141,0.784494194813528
"Syt11",1.25485635572992,0.00215444559829281,0.0274042611529282,0.0786171751272559,0.937337126046029,0.997571146269089
"Syt15",1.02879858686839,0.000909712667054811,0.0302568311745248,0.0300663563149587,0.976014132365017,NA
"Syt2",1.03545929630796,0.000703420038481913,0.0301601463147124,0.023322832427334,0.981392759022778,NA
"Syt3",1.03491922396313,-0.00309231223260059,0.0301764832884104,-0.102474241383462,0.918380257598468,NA
"Syt4",1.11215552298726,0.0582701622104147,0.0289864127122842,2.0102577986727,0.0444039109138222,0.224690937186617
"Syt5",1.1986563870648,0.0826932737174309,0.0278800403099377,2.96603852785519,0.00301662696473716,0.026018407570858
"Syt6",1.01837574910926,0.000310814999380305,0.0304120847225986,0.0102201148726034,0.991845670088075,NA
"Syt7",1.08681819056494,-0.0422528777555931,0.029538689139193,-1.43042494392652,0.15259509335183,0.544606626272911
"Syt9",1.03567086590716,0.00586044434183498,0.030145517050469,0.194405169167394,0.845858642724563,NA
"Sytl3",1.01912864317229,0.00302519286814264,0.0303947748972214,0.0995300303546317,0.920717445495825,NA
"Sytl4",1.02772095347383,0.00402495910016108,0.0302655989541517,0.132987921575857,0.894202932835385,NA
"Tac1",1.03889479898236,0.00786417345971811,0.0300944386150018,0.261316503036475,0.793848441015887,NA
"Tac2",1.04491795904476,0.0295675985942232,0.0299609442281339,0.986871387266182,0.323705692720337,NA
"Tacc3",1.02170606816422,0.00211780269333724,0.0303585671613113,0.0697596392505688,0.944384972091335,NA
"Tacr1",1.02621922879339,0.00370869622426715,0.0302884042673808,0.122446075122592,0.902545750340852,NA
"Tacr3",1.0174097695582,1.07525865005118e-05,0.0304271638060486,0.000353387735020322,0.999718037388119,NA
"Tacstd2",1.02170643121112,0.00211779255480704,0.0303585671639654,0.0697593052850264,0.94438523790971,NA
"Taf8",1.04373442059678,-0.00379199862213554,0.0300508664619057,-0.126185999559863,0.89958469350935,NA
"Tagln",1.02450263373077,-0.0132643924200748,0.0303523079271719,-0.437014294000369,0.662100981730691,NA
"Tagln2",1.02138438112458,0.000957589823478849,0.0303659559443608,0.031534980332364,0.974842895737963,NA
"Tal1",1.03041142473766,0.00224391206007438,0.0302302472389155,0.074227380356512,0.940829459567524,NA
"Tanc1",1.02675737455899,-0.0133857100727423,0.0303193332971364,-0.441490910817834,0.65885764019809,NA
"Tanc2",1.04985428455694,0.0158167965500833,0.0299201163315448,0.528634192956248,0.597059235751687,NA
"Taok2",1.13388861375974,0.0290921583773815,0.0287668995345358,1.01130670486248,0.311869657988797,0.777352400631171
"Tap1",1.02858406561681,0.000773616869296182,0.0302602867046488,0.0255654176990112,0.97960396972723,NA
"Tap2",1.06683542247083,0.00766840288335297,0.0296996328773214,0.258198574878969,0.796253657729869,NA
"Tapbp",1.06275040038703,0.0241263659344761,0.0297208986147016,0.811764349633154,0.416926862100622,NA
"Tax1bp3",1.02579053529837,0.0040708101475087,0.0302939153054184,0.134377154833485,0.893104345581629,NA
"Tbc1d22a",1.07156061513526,0.00626490655194887,0.0296373439037298,0.211385560470567,0.832586423254067,0.992391878773082
"Tbc1d8b",1.03330962030894,0.000607210745074593,0.0301915977570757,0.0201119115974009,0.983954097987272,NA
"Tbr1",1.12915546062518,0.118867187131792,0.0286568095500853,4.14795607040764,3.35456745283668e-05,0.000416637277642315
"Tbx18",1.02611303743643,0.000789197457395574,0.0302965425626458,0.0260490930859093,0.979218181099133,NA
"Tbx20",1.01859196367539,0.000448360544490027,0.0304085764030178,0.0147445424128941,0.988235983506726,NA
"Tbxa2r",1.03159291692904,-0.00174011330743484,0.0302219391922873,-0.0575778177688519,0.954084919209715,NA
"Tbxas1",1.0616765596016,0.00698819672376109,0.0297729121430431,0.234716600451662,0.814428702339473,NA
"Tcap",1.0265408833777,-0.00464231420686167,0.0303025023239762,-0.153199038060581,0.87824131623464,NA
"Tcerg1l",1.03685600439939,0.00189464281736987,0.030137229443138,0.0628671862801663,0.949872264692355,NA
"Tcf4",1.0361036489386,-0.00642763043236729,0.0301668670375256,-0.213069206834496,0.831272982531858,NA
"Tcf7l2",1.04900389358753,0.00477098282493256,0.0299565488369103,0.159263433545259,0.873461328801112,NA
"Tchp",1.05103760781018,0.0143697456031888,0.029906493726341,0.480489145089325,0.630879619893849,NA
"Tec",1.03094780348359,0.00289790028989225,0.0302209322526712,0.0958904995273967,0.923607540088122,NA
"Teddm3",1.02095521055846,-0.000590774731151334,0.0303758232911518,-0.0194488467189438,0.98448304371824,NA
"Tek",1.02514578048951,0.00493159701368082,0.0303014787781977,0.162751034356421,0.870714463029884,NA
"Tekt5",1.07908098558424,0.0125673587867902,0.0295206101275578,0.425714737347465,0.670315722007677,0.952543671122246
"Tenm1",1.02192165095733,0.0092500000237771,0.0303394208794364,0.304883869093448,0.760454601832675,NA
"Tenm2",1.05930658864464,0.0227064389257274,0.0297719510780905,0.762678900894653,0.445654916665631,NA
"Tenm3",1.06221277780907,-0.0107547693995944,0.0298048409950067,-0.360839683774733,0.718219295198941,NA
"Tenm4",1.02084656839343,-0.000340883962836876,0.0303768511285833,-0.0112218334084048,0.991046460299123,NA
"Terf2",1.02912085791857,0.00585161462489126,0.0302410442433979,0.193499092749377,0.8465681165107,NA
"Tfap2b",1.0358881357894,0.00662177918866786,0.0301407097884109,0.219695529241117,0.826108286757722,NA
"Tfap2c",1.07993664489658,0.020285365379233,0.029492391664312,0.687816899020088,0.491568092899283,0.918637728452104
"Tfap2d",1.02041639601477,0.00193371064976618,0.0303780898743506,0.0636547807240141,0.949245111436604,NA
"Tfeb",1.01902208428626,-0.00119173881112837,0.0304058977643833,-0.0391943306645048,0.968735453639519,NA
"Tgfa",1.05211656753577,0.00699591720807561,0.0299074077309418,0.23391921061877,0.815047698993011,NA
"Tgfb1",1.01719561932288,0.00370868896200519,0.0304220181606674,0.121908051675551,0.902971838878333,NA
"Tgfb2",1.03406235820703,0.00516794572445904,0.0301704594255914,0.171291581992797,0.863994499240567,NA
"Tgfbr1",1.02762057387131,-0.00585528374887386,0.0302894664065787,-0.193310891326964,0.846715497159208,NA
"Tgfbr2",1.03148460058864,0.00102955045899402,0.0302172764498611,0.0340715835426905,0.972820068371475,NA
"Tgm1",1.04222866705867,0.00212685788115103,0.0300592108981622,0.0707556125926468,0.943592259256127,NA
"Th",1.02278269874266,-0.00546860797405305,0.0303598489194799,-0.180126323703285,0.857053397264747,NA
"Thbd",1.04781325393666,0.00311039133298501,0.0299770608219248,0.10375904934316,0.91736056488816,NA
